latency,radioTechnology,reachableVia,altitude,accurancy,horizontalAccuracy,wifiEnabled,RAWData_mean,RAWData_max,RAWData_min,RAWData_median,RAWData_kurt,RAWData_stdDev,signalStrength,verticalAccurancies_mean,verticalAccurancies_max,verticalAccurancies_min,verticalAccurancies_median,verticalAccurancies_kurt,verticalAccurancies_stdDev,horizontaAccurancies_mean,horizontaAccurancies_max,horizontaAccurancies_min,horizontaAccurancies_median,horizontaAccurancies_kurt,horizontaAccurancies_stdDev,accurancyTimeStamps_mean,accurancyTimeStamps_max,accurancyTimeStamps_min,accurancyTimeStamps_median,accurancyTimeStamps_kurt,accurancyTimeStamps_stdDev,accurancyTimeStamps_count,floor,speed,activityMotion,activityConfidence,userIndoorMark
118.816018,HSPDA,Wi-Fi,250.911713,10,65,true,43.436148,51.7376,0,47.642096,12.92952164671131,0,-91,10,10,10,10,0,0,65,65,65,65,0,0,2.452007055282593,4.904014110565186,0,2.452007055282593,0,3.467661632615159,2,0,-1,1,2,false
430.386961,HSPDA,Wi-Fi,251.213287,10,65,true,35.0352488,52.303648,0,43.02912,16.21691776452465,0,-91,10,10,10,10,0,0,65,65,65,65,0,0,2.557882070541382,5.115764141082764,0,2.557882070541382,0,3.617391515110596,2,0,-1,0,0,false
540.74198,HSPDA,Wi-Fi,536.999329,17.992316,310.613271,true,7.5136424,12.488832,0,7.32832,3.074269313013597,0,-101,32.54777960364896,94.69804382324219,16.93309138167731,20.81364976030584,2.537654572350414,29.1605476782574,292.5190954239969,497.6394706072772,48,309.0297059014208,-1.518943318090349,175.1705728451679,1.435522556304932,7.905938148498535,0,0.03144216537475586,3.592389614670744,2.585899323966083,11,0,-1,1,2,true
236.387968,HSPDA,Wi-Fi,536.9995730000001,16.062879,294.673765,true,7.3244696,11.848752,0,7.321504,2.71233673870931,0,-101,30.28607299905613,94.69804382324219,14.42559984569803,17.99231640748437,2.675708232817597,27.88466362816309,300.2337961050764,497.6394706072772,48,309.822846233193,-1.20411557856969,158.4056309767792,82659441.2617515,1487869928.615754,-7.841795206069946,0.01890349388122559,17.99999999999999,350694305.1538124,18,0,-1,1,0,true
203.42499,LTE,Wi-Fi,222.703171,10,294.580974,true,7.377155199999999,12.217376,0,7.290623999999999,2.911756212220233,0,-114,10,10,10,10,nan,0,268.5172412836351,662.519901677847,65,65,-1.331663248140555,281.9079375295743,1.511311133702596,8.949044942855835,0,0.003398418426513672,5.996919855330898,3.643996512740545,6,0,-1,0,0,true
4493.185043,HSPDA,Wi-Fi,788.935547,10,165,true,0.5869112,1.240192,0,0.564064,0.3884417197293227,0,-89,11.37301197970196,12.93306106857598,10,11.85902038613697,-1.789487992613156,1.151974243188286,216.6150770924963,400.6517314858622,65,200,0.8005473188858798,84.65894842431381,1.377760324478149,9.001513957977295,0,0.98940110206604,6.527162807464997,2.186758508171917,25,0,-1,1,1,false
131.578028,LTE,Wi-Fi,21.106443,10,200,true,26.3104248,33.770528,0,27.966856,7.172891038735641,0,-90,13.66017915535987,17.32035831071975,10,13.66017915535988,-2.363636363636364,3.7983474168748,1600,4195,65,200,-1.837895447443173,2007.682360718065,1.83177638053894,8.522178888320923,0,0.469228982925415,1.09546978714311,2.919582093635678,13,0,0,0,0,true
146.147013,LTE,Wi-Fi,21.014513,10.211159,107.84979,true,26.8582248,31.398144,0,28.124992,6.474268722113715,0,-90,15.40050905850281,34.14375343217995,10,16,3.709430837071503,6.7904167582664,1014.471513902024,4195,65,165,0.1575951405863942,1714.464284053835,70851725.94440919,1487886228.686146,-8.052949905395508,0.1145329475402832,21.00000000000001,324683393.5589059,21,0,-1,0,0,true
139.93603,LTE,Wi-Fi,4.277525,10,200,true,15.8549904,29.377184,0,16.775184,7.445276848958634,0,-102,13.56298038054742,26.03341171246337,10,10,0.734693877551023,7.070070009848053,390.0675166977346,1405.830756020782,65,65,0.6725093480048949,578.2223245536593,1.59715011715889,8.983939170837402,0,0.0929899215698242,6.407586727154161,3.090148303438547,8,0,0,1,0,true
105.957031,LTE,Wi-Fi,4.905701,24,10,true,75.71046479999998,95.38790400000001,0,82.77238399999999,23.80254098330168,0,-102,22.0316214297289,64,10,24,2.875094157061551,13.73986792861614,205.4793619050502,1405.830756020782,10,65,7.162924641013362,391.2405311391304,70851817.19280653,1487888148.319365,-7.199693202972412,0.9863450527191162,21,324683812.4944982,21,0,0,1,0,true
58.448017,LTE,Wi-Fi,475.081631,4,50,true,90.46211599999999,102.6752,0,99.51571200000001,23.51648315422244,0,-102,12.3,128,3,4,19.34750272163068,27.42664858548304,61.78006075975738,200.6012151951477,30,50,16.75795012917168,33.93517767138715,1.137115842417667,9.002470970153809,0,0.9965269565582275,16.79086021354221,1.955334371696481,19,0,0,1,2,false
